,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9
2023-01-19 22:00:00+00:00,-0.08996689434465596,-0.101407680989916,-0.10696553660220612,-0.048556541183578106,-0.09005835978803672,-0.10188487502514229,-0.0646596096288092,-0.040139219037311186,-0.04401475228965869,-0.1615440121407784
2023-01-19 23:00:00+00:00,-0.09290448659299236,-0.10063850058831178,-0.10807442397010905,-0.05061855160023304,-0.08888051346886405,-0.10390550682636507,-0.06942484640731686,-0.046710716705509914,-0.043664227618230536,-0.1632588805760024
2023-01-20 00:00:00+00:00,-0.08009843346913179,-0.09851410908158743,-0.10838103278208153,-0.04859537516135232,-0.07774695091604156,-0.10077792301481134,-0.07114528813211937,-0.051729851393312515,-0.0377303143289129,-0.15611775628946106
2023-01-20 01:00:00+00:00,-0.07662339768073981,-0.09757867188802248,-0.10759933216006604,-0.053313309469292025,-0.07538168312002447,-0.09967820667441074,-0.07482603292821596,-0.05560416872130933,-0.030771780108555982,-0.15054394909328278
2023-01-20 02:00:00+00:00,-0.0763646862333717,-0.09737317474718389,-0.10517813786863703,-0.05612839064560571,-0.07923818556838921,-0.10034595566532031,-0.07763402441371978,-0.05473187161390547,-0.02478192214005899,-0.14536821474190553
2023-01-20 03:00:00+00:00,-0.07948109888074806,-0.09811331572165592,-0.10352520302032306,-0.05835336318697881,-0.08295877862621981,-0.10237668745012216,-0.08061559854672079,-0.055510894784277925,-0.023093423956988227,-0.143150254448348
2023-01-20 04:00:00+00:00,-0.0793415366924538,-0.10002167117536262,-0.10007426116856874,-0.06059885016358946,-0.0866518688732967,-0.10499537775270568,-0.08368324903181051,-0.05139291068509885,-0.015135685404607038,-0.1396010513935937
2023-01-20 05:00:00+00:00,-0.0811389837566355,-0.10074780675806466,-0.10310188705883858,-0.06141849719170844,-0.08806995034840231,-0.10669742913689514,-0.08648764285457328,-0.0527338808243378,-0.016915773518429003,-0.1415894391358446
2023-01-20 06:00:00+00:00,-0.08042556933011924,-0.10242206636516293,-0.09864325979930091,-0.06218305890767284,-0.09195950597531571,-0.10956702759138953,-0.09077187106337925,-0.048123742111216866,-0.00834123935390342,-0.1390035947306268
2023-01-20 07:00:00+00:00,-0.07987880535330738,-0.10306028061196656,-0.09620864064045756,-0.06254857234798328,-0.0945390928010788,-0.10933649461524503,-0.09423746715100803,-0.045601959932016656,-0.0037993985813907366,-0.1379405464766685
2023-01-20 08:00:00+00:00,-0.08106759201904895,-0.10327482531341145,-0.09850420032640392,-0.06371855300823709,-0.09658751035983174,-0.10827980834230644,-0.0967558144862454,-0.046618720083489024,-0.005516445769225178,-0.1385436300507659
2023-01-20 09:00:00+00:00,-0.08312985155471511,-0.10311689269145342,-0.10180289900481557,-0.06558245703157456,-0.09837796515082059,-0.10618504119694516,-0.09824906262605415,-0.0500579932837755,-0.013186638583272917,-0.1398346247618017
2023-01-20 10:00:00+00:00,-0.08423304752667674,-0.10259641517440377,-0.10215632516961579,-0.06964436889724074,-0.10088809329972195,-0.10304444941629451,-0.10116733882852857,-0.0512762521402165,-0.016632473823684837,-0.1391255048099105
2023-01-20 11:00:00+00:00,-0.0880653037353433,-0.10250934395210325,-0.11130770141280197,-0.07400206029948098,-0.10115810246117826,-0.10151843161162882,-0.1018946254226702,-0.0583360960526082,-0.030392703636546906,-0.14356631205722797
2023-01-20 12:00:00+00:00,-0.09428822923798899,-0.10269034148561866,-0.1187209300520152,-0.07656501175597491,-0.10108719628983467,-0.10154883174287413,-0.1021664203170832,-0.06474897012404188,-0.038706194934869945,-0.1496013311309581
2023-01-20 13:00:00+00:00,-0.1017524048060591,-0.10122825418045,-0.12243136485321673,-0.08074248849568477,-0.1016028807180138,-0.10164972514348411,-0.10292351027402308,-0.07191628781736256,-0.04437937852685421,-0.15698560472047218
2023-01-20 14:00:00+00:00,-0.1091366659347052,-0.09982627055986232,-0.12213100822866466,-0.08448479892830701,-0.09820833858076503,-0.10468094364785277,-0.10615393246380886,-0.08004342874669604,-0.04685214090075708,-0.16862652514125015
2023-01-20 15:00:00+00:00,-0.11184279754585999,-0.10025977845355794,-0.12137761350864038,-0.08688128159492295,-0.09962520976448722,-0.10481935237775827,-0.10641389189275904,-0.08183806878092365,-0.04763809734058479,-0.17009206986170342
2023-01-20 16:00:00+00:00,-0.11668953620308822,-0.0997110773993968,-0.12006516278479643,-0.0880310605109402,-0.10104192018020444,-0.10700636042164202,-0.10816775329123202,-0.0831443497780564,-0.04782987832157505,-0.1736262274194187
2023-01-20 17:00:00+00:00,-0.11676651840325061,-0.09614061597816415,-0.11691142818834158,-0.08889924372813693,-0.10327062311471841,-0.10051917792956164,-0.10196151795031769,-0.07984855483650363,-0.0447578072908031,-0.15909932347853906
2023-01-20 18:00:00+00:00,-0.11873003881547659,-0.09367060483833729,-0.11397219238808118,-0.08793008466088573,-0.1045669660548246,-0.09861801698318448,-0.09855717900653993,-0.07897107537712314,-0.04424069265131804,-0.152956153566905
2023-01-20 19:00:00+00:00,-0.11859192704066199,-0.09022793741915719,-0.10793739076928063,-0.08492803693607084,-0.10370929600846493,-0.09349640345938676,-0.09206725830467341,-0.07346511524800106,-0.041507026175168396,-0.14049948397543255
2023-01-20 20:00:00+00:00,-0.11786617493166587,-0.08718631627465864,-0.1024075288623966,-0.08307638679460347,-0.10170301706805354,-0.08817402831429352,-0.08593463089480768,-0.06731119320807169,-0.040120264812178966,-0.12786219204633392
2023-01-20 21:00:00+00:00,-0.11603794263073106,-0.08506109656390634,-0.09766254928002785,-0.08292058552022058,-0.09973720197390024,-0.08436969006040393,-0.08062623890806142,-0.05837836500001184,-0.03968940104697001,-0.11419686752405914
2023-01-20 22:00:00+00:00,-0.1163003997425214,-0.08456661445392198,-0.09555632152091456,-0.08231054524587858,-0.09891564086697227,-0.08356705413044407,-0.07857846501002744,-0.053996253096893904,-0.03806999682089625,-0.10781513897380124
2023-01-20 23:00:00+00:00,-0.11270773346806304,-0.08634627175776277,-0.09309091087330831,-0.08444010422714762,-0.09569037608314451,-0.0813270891079147,-0.07615350736910084,-0.04831517127866522,-0.034067736327814804,-0.09734874500753937
2023-01-21 00:00:00+00:00,-0.10857639775022662,-0.08680942978184109,-0.08932142605538759,-0.08492239866875606,-0.09113626861625071,-0.07900813743766791,-0.07425895984415057,-0.04277269513913817,-0.0284938906067725,-0.08791906524019066
