,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-16 13:00:00+00:00,-0.2089124,-0.21216714,-0.2112185,-0.2102575,-0.220945,-0.23591173,-0.21492851,-0.22595799,-0.2174741,-0.2426553,-0.22004282,0.011504771
2022-11-16 14:00:00+00:00,-0.21340686,-0.21386752,-0.21326423,-0.21257713,-0.22300017,-0.23413989,-0.21556371,-0.22958991,-0.2192502,-0.2453942,-0.2220054,0.011092254
2022-11-16 15:00:00+00:00,-0.21897829,-0.21575394,-0.21510455,-0.21465564,-0.22463968,-0.23283413,-0.2158634,-0.23434803,-0.22034776,-0.24803326,-0.22405586,0.011066983
2022-11-16 16:00:00+00:00,-0.22372177,-0.21703088,-0.21542704,-0.2149547,-0.22465003,-0.23128825,-0.21437651,-0.2378344,-0.21994394,-0.24962917,-0.22488567,0.011580463
2022-11-16 17:00:00+00:00,-0.22781152,-0.2176911,-0.21471572,-0.21434924,-0.22333547,-0.22964147,-0.21180794,-0.23992711,-0.21834087,-0.25049663,-0.22481172,0.012453292
2022-11-16 18:00:00+00:00,-0.22969738,-0.2179429,-0.21323875,-0.21285778,-0.22083199,-0.22754568,-0.2091459,-0.24018869,-0.21605879,-0.25090396,-0.22384119,0.013337757
2022-11-16 19:00:00+00:00,-0.23039195,-0.21773127,-0.21147928,-0.21095532,-0.21765944,-0.22502369,-0.20762569,-0.23972642,-0.21338943,-0.25090006,-0.22248825,0.014051964
2022-11-16 20:00:00+00:00,-0.2308746,-0.21704778,-0.20927978,-0.20842677,-0.2155391,-0.22251481,-0.20659733,-0.23845899,-0.2104002,-0.25033727,-0.22094767,0.014628552
2022-11-16 21:00:00+00:00,-0.22944921,-0.21635872,-0.20729351,-0.20612144,-0.21457028,-0.22066435,-0.2066553,-0.2367605,-0.20785585,-0.24992871,-0.21956578,0.01485806
2022-11-16 22:00:00+00:00,-0.22929594,-0.21558994,-0.20540869,-0.2039578,-0.21385992,-0.21942127,-0.20687371,-0.235196,-0.20595711,-0.249004,-0.21845642,0.015025845
2022-11-16 23:00:00+00:00,-0.22983116,-0.21507534,-0.20390615,-0.20226869,-0.21350738,-0.21927428,-0.207692,-0.23409668,-0.20519418,-0.24852043,-0.21793664,0.015192293
2022-11-17 00:00:00+00:00,-0.23006666,-0.21442094,-0.20229676,-0.20056069,-0.21319461,-0.21983328,-0.20843431,-0.23249188,-0.20477635,-0.24823704,-0.21743126,0.015358725
2022-11-17 01:00:00+00:00,-0.22894773,-0.21325582,-0.20049158,-0.19811845,-0.21274671,-0.22055665,-0.20860144,-0.22909823,-0.20364016,-0.24746692,-0.21629238,0.015402607
2022-11-17 02:00:00+00:00,-0.22826615,-0.21231225,-0.19967064,-0.19680086,-0.21277738,-0.22195461,-0.21032059,-0.22582227,-0.20343745,-0.2473251,-0.21586871,0.015321718
2022-11-17 03:00:00+00:00,-0.22820184,-0.21169838,-0.19975975,-0.19643745,-0.2130934,-0.22416738,-0.21232,-0.22280249,-0.20336255,-0.24679801,-0.21586414,0.015117452
2022-11-17 04:00:00+00:00,-0.22309074,-0.21113876,-0.2004633,-0.19670233,-0.21357065,-0.22593436,-0.21500373,-0.2203652,-0.20381138,-0.24587423,-0.21559545,0.014343932
2022-11-17 05:00:00+00:00,-0.21838689,-0.21077043,-0.20146361,-0.19767562,-0.21423677,-0.22711483,-0.21783388,-0.21924898,-0.20506176,-0.24520937,-0.21570022,0.013713886
2022-11-17 06:00:00+00:00,-0.21553138,-0.21052206,-0.20280972,-0.19956908,-0.2151581,-0.22780707,-0.2206026,-0.21935225,-0.2072778,-0.24475113,-0.21633811,0.013116081
2022-11-17 07:00:00+00:00,-0.21390519,-0.21050179,-0.2046305,-0.20192993,-0.21618098,-0.2282826,-0.22342044,-0.21991575,-0.20962599,-0.24437708,-0.21727702,0.012528727
2022-11-17 08:00:00+00:00,-0.21278238,-0.21069887,-0.20644718,-0.20440379,-0.21709713,-0.22824323,-0.22542942,-0.22042668,-0.21215484,-0.24422517,-0.21819088,0.011959375
2022-11-17 09:00:00+00:00,-0.21169794,-0.21089882,-0.20817071,-0.20675722,-0.21786648,-0.22741199,-0.22715059,-0.2205115,-0.21445003,-0.24383235,-0.21887474,0.011372787
2022-11-17 10:00:00+00:00,-0.20960507,-0.21092144,-0.20924926,-0.20821881,-0.21813306,-0.22596923,-0.22743881,-0.22034687,-0.21606112,-0.24343798,-0.21893816,0.011020191
2022-11-17 11:00:00+00:00,-0.20739847,-0.21045291,-0.20959869,-0.20872417,-0.21771935,-0.22326848,-0.22597739,-0.21993864,-0.21625862,-0.24244106,-0.2181778,0.010652534
