,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-19 14:00:00+00:00,-0.13112456,-0.1586977,-0.15661222,-0.12360382,-0.14782086
2022-11-19 15:00:00+00:00,-0.13222113,-0.16021964,-0.15792593,-0.12494394,-0.14959696
2022-11-19 16:00:00+00:00,-0.13436192,-0.16277549,-0.15992689,-0.12676868,-0.15228361
2022-11-19 17:00:00+00:00,-0.13633251,-0.16424167,-0.16181207,-0.12847903,-0.15470597
2022-11-19 18:00:00+00:00,-0.13791987,-0.16508418,-0.16345894,-0.13014969,-0.15700793
2022-11-19 19:00:00+00:00,-0.13900664,-0.16492587,-0.16480988,-0.13139433,-0.1588201
2022-11-19 20:00:00+00:00,-0.14011297,-0.16454458,-0.165616,-0.1323215,-0.16053554
2022-11-19 21:00:00+00:00,-0.14132604,-0.16420099,-0.1666663,-0.133131,-0.16242969
2022-11-19 22:00:00+00:00,-0.14199707,-0.16398609,-0.16660401,-0.13405362,-0.16357118
2022-11-19 23:00:00+00:00,-0.14277548,-0.16369554,-0.16674915,-0.13484734,-0.16469839
2022-11-20 00:00:00+00:00,-0.14350578,-0.16405487,-0.16708499,-0.13580981,-0.16636959
2022-11-20 01:00:00+00:00,-0.14421576,-0.16480708,-0.1680462,-0.13656107,-0.16764295
2022-11-20 02:00:00+00:00,-0.14512739,-0.16576692,-0.16889486,-0.13735169,-0.16851565
2022-11-20 03:00:00+00:00,-0.14596185,-0.16602454,-0.16922471,-0.13807008,-0.16965258
2022-11-20 04:00:00+00:00,-0.14626023,-0.16543952,-0.16921231,-0.13835973,-0.17005599
2022-11-20 05:00:00+00:00,-0.14710173,-0.16561273,-0.16950673,-0.13841254,-0.17127126
2022-11-20 06:00:00+00:00,-0.14722922,-0.16605765,-0.16948709,-0.1386101,-0.17185175
2022-11-20 07:00:00+00:00,-0.14808488,-0.16735724,-0.16979861,-0.13941762,-0.17273915
2022-11-20 08:00:00+00:00,-0.14918938,-0.16792408,-0.17033064,-0.14066678,-0.17410016
2022-11-20 09:00:00+00:00,-0.15014651,-0.16813082,-0.17123184,-0.14179671,-0.17540216
2022-11-20 10:00:00+00:00,-0.15145811,-0.16887853,-0.17293295,-0.14282581,-0.17737684
2022-11-20 11:00:00+00:00,-0.15241554,-0.1704149,-0.17463589,-0.14365196,-0.17904374
2022-11-20 12:00:00+00:00,-0.15316218,-0.17194155,-0.17592016,-0.14430252,-0.18043154
2022-11-20 13:00:00+00:00,-0.15404072,-0.17244184,-0.17627683,-0.14528275,-0.1818231
2022-11-20 14:00:00+00:00,-0.1551207,-0.1734677,-0.17641589,-0.14625606,-0.18345094
2022-11-20 15:00:00+00:00,-0.15626252,-0.1745804,-0.17688736,-0.14725733,-0.18532383
2022-11-20 16:00:00+00:00,-0.15752092,-0.17545527,-0.17752,-0.14870062,-0.18747509
2022-11-20 17:00:00+00:00,-0.15879652,-0.17671493,-0.17785528,-0.15044704,-0.18926048
2022-11-20 18:00:00+00:00,-0.16033563,-0.17795733,-0.1787045,-0.15199918,-0.19134417
2022-11-20 19:00:00+00:00,-0.16143018,-0.17864075,-0.17924786,-0.15320805,-0.19320378
2022-11-20 20:00:00+00:00,-0.16197377,-0.17905846,-0.1793105,-0.15411541,-0.1943722
2022-11-20 21:00:00+00:00,-0.16261128,-0.17962778,-0.17940262,-0.15474918,-0.19513974
2022-11-20 22:00:00+00:00,-0.1636818,-0.18013766,-0.17960918,-0.15615031,-0.1957891
2022-11-20 23:00:00+00:00,-0.16440499,-0.17926642,-0.17984292,-0.1569803,-0.19643784
2022-11-21 00:00:00+00:00,-0.16479054,-0.17808723,-0.18031403,-0.15725413,-0.19695392
2022-11-21 01:00:00+00:00,-0.1647394,-0.1770955,-0.18053433,-0.15717775,-0.1970734
2022-11-21 02:00:00+00:00,-0.16425958,-0.1764335,-0.18025485,-0.15666735,-0.1965039
2022-11-21 03:00:00+00:00,-0.16350955,-0.17587811,-0.17951247,-0.15621427,-0.19557863
2022-11-21 04:00:00+00:00,-0.16257831,-0.1748817,-0.17829803,-0.155846,-0.19402277
2022-11-21 05:00:00+00:00,-0.16182366,-0.17373484,-0.17758012,-0.1556088,-0.1924057
2022-11-21 06:00:00+00:00,-0.16150543,-0.17284077,-0.1773315,-0.15550247,-0.1910525
2022-11-21 07:00:00+00:00,-0.16133848,-0.17246324,-0.17776623,-0.15555191,-0.18997002
2022-11-21 08:00:00+00:00,-0.16139373,-0.17241928,-0.1785419,-0.15567264,-0.1890471
2022-11-21 09:00:00+00:00,-0.16150469,-0.17227623,-0.1794953,-0.15562412,-0.18866745
2022-11-21 10:00:00+00:00,-0.16114587,-0.17217094,-0.18031779,-0.15527922,-0.18838593
2022-11-21 11:00:00+00:00,-0.16105404,-0.17325592,-0.1807605,-0.15502912,-0.1882379
2022-11-21 12:00:00+00:00,-0.1607312,-0.17400771,-0.18083414,-0.1548425,-0.18794116
2022-11-21 13:00:00+00:00,-0.16052893,-0.17428118,-0.18088442,-0.15459853,-0.18766627
2022-11-21 14:00:00+00:00,-0.16019633,-0.17380944,-0.18060628,-0.15420029,-0.18724984
2022-11-21 15:00:00+00:00,-0.15983924,-0.17357907,-0.18047503,-0.15381032,-0.18708849
2022-11-21 16:00:00+00:00,-0.15952346,-0.17376879,-0.18085203,-0.1532487,-0.18718776
2022-11-21 17:00:00+00:00,-0.15907937,-0.1733956,-0.18073583,-0.15244082,-0.18708754
2022-11-21 18:00:00+00:00,-0.15847373,-0.17279482,-0.18016145,-0.15161207,-0.1867522
2022-11-21 19:00:00+00:00,-0.15768269,-0.1717163,-0.1791834,-0.1508176,-0.18622208
2022-11-21 20:00:00+00:00,-0.15729427,-0.17041343,-0.17816073,-0.15005937,-0.18592805
2022-11-21 21:00:00+00:00,-0.15699857,-0.16954073,-0.17695108,-0.14973313,-0.18530238
2022-11-21 22:00:00+00:00,-0.15670773,-0.16943777,-0.17615914,-0.1497246,-0.18445137
2022-11-21 23:00:00+00:00,-0.15668187,-0.16945511,-0.17593592,-0.15001962,-0.1839728
2022-11-22 00:00:00+00:00,-0.15693054,-0.17007342,-0.17618045,-0.1508534,-0.18394646
2022-11-22 01:00:00+00:00,-0.15747657,-0.17105144,-0.17672801,-0.15218273,-0.18424654
2022-11-22 02:00:00+00:00,-0.15878972,-0.17176634,-0.17759034,-0.1537635,-0.1852239
